"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"California"	"06"	25	1254099	2.0
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Colorado"	"08"	14	172981	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Florida"	"12"	13	587833	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Georgia"	"13"	10	354918	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Illinois"	"17"	13	408244	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"New Jersey"	"34"	10	276014	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"New York"	"36"	14	600098	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Ohio"	"39"	13	374594	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Texas"	"48"	41	978094	4.2
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Wisconsin"	"55"	13	186254	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"California"	"06"	25	1254099	2.0
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Colorado"	"08"	14	172981	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Florida"	"12"	13	587833	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Georgia"	"13"	10	354918	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Illinois"	"17"	13	408244	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"New Jersey"	"34"	10	276014	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"New York"	"36"	14	600098	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Ohio"	"39"	13	374594	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Texas"	"48"	41	978094	4.2
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Wisconsin"	"55"	13	186254	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Texas"	"48"	13	978094	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Texas"	"48"	14	978094	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Arizona"	"04"	22	238976	9.2
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"California"	"06"	65	1308569	5.0
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Colorado"	"08"	23	183469	12.5
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Florida"	"12"	24	615907	3.9
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Georgia"	"13"	10	368818	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Illinois"	"17"	28	427885	6.5
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Indiana"	"18"	17	234035	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Iowa"	"19"	11	109865	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Maryland"	"24"	14	196599	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Massachusetts"	"25"	13	228388	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Michigan"	"26"	37	337602	11.0
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Minnesota"	"27"	18	181958	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Missouri"	"29"	13	201940	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Nebraska"	"31"	12	66581	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Nevada"	"32"	10	93405	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"New Mexico"	"35"	15	71131	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"New York"	"36"	25	621884	4.0
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"North Carolina"	"37"	22	344666	6.4
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Ohio"	"39"	33	392890	8.4
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Oklahoma"	"40"	10	135957	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Oregon"	"41"	12	126405	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Pennsylvania"	"42"	27	416635	6.5
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"South Carolina"	"45"	13	165026	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Tennessee"	"47"	18	217732	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Texas"	"48"	64	1026807	6.2
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Utah"	"49"	14	123316	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Virginia"	"51"	17	274786	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Washington"	"53"	32	228430	14.0
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Wisconsin"	"55"	10	193976	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Arizona"	"04"	22	238976	9.2
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"California"	"06"	65	1308569	5.0
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Colorado"	"08"	23	183469	12.5
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Florida"	"12"	24	615907	3.9
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Georgia"	"13"	10	368818	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Illinois"	"17"	28	427885	6.5
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Indiana"	"18"	17	234035	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Iowa"	"19"	11	109865	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Maryland"	"24"	14	196599	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Massachusetts"	"25"	13	228388	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Michigan"	"26"	37	337602	11.0
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Minnesota"	"27"	18	181958	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Missouri"	"29"	13	201940	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Nebraska"	"31"	12	66581	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Nevada"	"32"	10	93405	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"New Mexico"	"35"	15	71131	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"New York"	"36"	25	621884	4.0
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"North Carolina"	"37"	22	344666	6.4
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Ohio"	"39"	33	392890	8.4
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Oklahoma"	"40"	10	135957	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Oregon"	"41"	12	126405	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Pennsylvania"	"42"	27	416635	6.5
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"South Carolina"	"45"	13	165026	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Tennessee"	"47"	18	217732	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Texas"	"48"	64	1026807	6.2
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Utah"	"49"	14	123316	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Virginia"	"51"	17	274786	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Washington"	"53"	32	228430	14.0
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Wisconsin"	"55"	10	193976	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"California"	"06"	19	1308569	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Missouri"	"29"	10	201940	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Oklahoma"	"40"	20	135957	14.7
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Virginia"	"51"	11	274786	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Washington"	"53"	13	228430	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"California"	"06"	11	1308569	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Oklahoma"	"40"	19	135957	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Virginia"	"51"	10	274786	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Washington"	"53"	11	228430	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"California"	"06"	20	1308569	1.5
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Idaho"	"16"	11	62126	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Missouri"	"29"	11	201940	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Oklahoma"	"40"	22	135957	16.2
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Virginia"	"51"	12	274786	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Washington"	"53"	14	228430	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Open wound of head, part unspecified"	"S01.9"	"California"	"06"	11	1308569	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Open wound of head, part unspecified"	"S01.9"	"Minnesota"	"27"	11	181958	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Open wound of head, part unspecified"	"S01.9"	"Texas"	"48"	17	1026807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Open wound of unspecified body region"	"T14.1"	"Texas"	"48"	11	1026807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"California"	"06"	11	1308569	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Minnesota"	"27"	11	181958	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Texas"	"48"	20	1026807	1.9
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Wisconsin"	"55"	10	193976	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Arizona"	"04"	17	238976	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Arkansas"	"05"	10	101485	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"California"	"06"	19	1308569	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Colorado"	"08"	17	183469	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Florida"	"12"	37	615907	6.0
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Georgia"	"13"	28	368818	7.6
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Illinois"	"17"	20	427885	4.7
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Indiana"	"18"	17	234035	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Kansas"	"20"	15	103566	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Kentucky"	"21"	19	147459	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Louisiana"	"22"	20	152723	13.1
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Michigan"	"26"	23	337602	6.8
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Missouri"	"29"	14	201940	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Nevada"	"32"	10	93405	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"New Mexico"	"35"	10	71131	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"New York"	"36"	11	621884	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Ohio"	"39"	18	392890	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Pennsylvania"	"42"	19	416635	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"South Carolina"	"45"	14	165026	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Tennessee"	"47"	23	217732	10.6
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Texas"	"48"	77	1026807	7.5
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Arizona"	"04"	13	238976	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Florida"	"12"	38	615907	6.2
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Georgia"	"13"	14	368818	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Illinois"	"17"	10	427885	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Indiana"	"18"	12	234035	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Michigan"	"26"	19	337602	Unreliable
